Dataset,n,d,Method,Activation,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
california_housing,20640,8,Global CQR,RELU,Bin 5,3,5,90%,0.9116316639741517,0.01300559907113327,1.2658426761627197,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Overall,,,90%,0.8840277777777776,0.0053291881930303,1.2401174577663698,0.018532520602997468,1.4295079342837573,1.1285327080637217,0.7299151775842255,0.8670494862055882,0.012115216720894247,0.8984009852126824,0.031351499007094406,
california_housing,20640,8,Localized CQR,RELU,Bin 1,4,1,90%,0.8753026634382566,0.014600526646590438,1.1421826134344992,,,,,,,,,1239.0
california_housing,20640,8,Localized CQR,RELU,Bin 2,0,2,90%,0.8810330912025826,0.014786505523040974,1.3818814836502837,,,,,,,,,1239.0
california_housing,20640,8,Localized CQR,RELU,Bin 3,2,3,90%,0.8852988691437803,0.010325364252843148,1.2673785459390357,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Bin 4,3,4,90%,0.8891760904684975,0.011410800249699713,1.1780322627399584,,,,,,,,,1238.0
california_housing,20640,8,Localized CQR,RELU,Bin 5,1,5,90%,0.8893376413570275,0.007143034238912483,1.2310769798519552,,,,,,,,,1238.0
rf1,4017,64,Global CQR,RELU,Overall,,,90%,0.9019071310116086,0.01036351566964088,0.2540772184729576,0.01721151250409602,8.552260625372831,0.21523982286453247,0.1487241193652153,0.8374901409416686,0.023877103117613374,0.9689088165700765,0.13141867562840784,
rf1,4017,64,Global CQR,RELU,Bin 1,3,1,90%,0.8775933609958505,0.053016316760085634,0.17094688192009927,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 2,2,2,90%,0.8900414937759337,0.044853601037995294,0.20870427340269088,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 3,4,3,90%,0.8979338842975206,0.05003413901804274,0.29482542872428896,,,,,,,,,242.0
rf1,4017,64,Global CQR,RELU,Bin 4,1,4,90%,0.9045643153526971,0.017308426236194375,0.31756197214126586,,,,,,,,,241.0
rf1,4017,64,Global CQR,RELU,Bin 5,0,5,90%,0.9394190871369295,0.04415530487775281,0.278178471326828,,,,,,,,,241.0
rf1,4017,64,Localized CQR,RELU,Overall,,,90%,0.9087064676616915,0.00852451425112172,0.2512859067773724,0.015528353885729977,8.45806841606682,0.2118203254416585,0.145711004932802,0.8714138746956552,0.01569566282045244,0.9548249374164122,0.08341106272075718,
