Dataset,n,d,Method,Bin,Bin ID,Bin Rank,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Range,Bin Count (mean)
blog_data,52397,280,Localized CQR,Bin 4,1,4,90%,0.8819338422391857,0.017053685882814865,0.15225077229070613,,,,,,,,,3144.0
blog_data,52397,280,Localized CQR,Bin 5,0,5,90%,0.9075381679389313,0.026003362511962426,0.11665308006734013,,,,,,,,,3144.0
rf1,9005,64,Global CQR,Overall,,,90%,0.9002590673575128,0.00710208773589766,9.932365670800209,15.616956727246173,608.3161597735815,0.27832360118627547,467.84159148037435,0.776356883685904,0.07779883561379493,0.9762976655028412,0.19994078181693706,
rf1,9005,64,Global CQR,Bin 1,0,1,90%,0.8460258780036968,0.13020879047130424,0.27863200306892394,,,,,,,,,541.0
rf1,9005,64,Global CQR,Bin 2,1,2,90%,0.8985185185185186,0.07063206700139031,0.2745905205607414,,,,,,,,,540.0
rf1,9005,64,Global CQR,Bin 3,2,3,90%,0.9092592592592593,0.05085685551709248,0.29613852202892305,,,,,,,,,540.0
rf1,9005,64,Global CQR,Bin 4,4,4,90%,0.910351201478743,0.04233063465026221,48.414084422588346,,,,,,,,,541.0
rf1,9005,64,Global CQR,Bin 5,3,5,90%,0.9372222222222222,0.059285005980908675,0.3449953466653824,,,,,,,,,540.0
rf1,9005,64,Localized CQR,Overall,,,90%,0.9152109548482604,0.00843048006654574,9.922227135084814,15.613480951819733,607.6969861040337,0.26961881425231693,467.83921562515445,0.8457082220853016,0.022161199772761486,0.9652005887588142,0.11949236667351268,
rf1,9005,64,Localized CQR,Bin 1,0,1,90%,0.9033271719038819,0.070942351944241,0.2836880038969233,,,,,,,,,541.0
rf1,9005,64,Localized CQR,Bin 2,2,2,90%,0.908148148148148,0.04036187474318602,0.2887703953981745,,,,,,,,,540.0
rf1,9005,64,Localized CQR,Bin 3,1,3,90%,0.9194444444444445,0.04483049924494975,0.27669064663281595,,,,,,,,,540.0
rf1,9005,64,Localized CQR,Bin 4,4,4,90%,0.9195933456561922,0.02189042381206472,48.386428481678514,,,,,,,,,541.0
rf1,9005,64,Localized CQR,Bin 5,3,5,90%,0.9255555555555555,0.024438832127886823,0.32217729186320126,,,,,,,,,540.0
rf2,7679,576,Global CQR,Overall,,,90%,0.8989583333333334,0.009136877496275425,0.46709631085395814,0.03719302065268615,27.494521356439712,0.25967912971973417,0.6730635225772857,0.8518122229557672,0.022414647416891458,0.9403140620579082,0.0885018391021409,
rf2,7679,576,Global CQR,Bin 1,4,1,90%,0.8824295010845986,0.03866773094170446,1.019754695892334,,,,,,,,,461.0
rf2,7679,576,Global CQR,Bin 2,3,2,90%,0.8828633405639913,0.02352354310060903,0.41191973388195036,,,,,,,,,461.0
rf2,7679,576,Global CQR,Bin 3,0,3,90%,0.8978308026030369,0.03886981420003869,0.34868891537189484,,,,,,,,,461.0
rf2,7679,576,Global CQR,Bin 4,2,4,90%,0.9128260869565217,0.024196931486941558,0.3020858258008957,,,,,,,,,460.0
rf2,7679,576,Global CQR,Bin 5,1,5,90%,0.9188720173535792,0.03613130206274536,0.25267445743083955,,,,,,,,,461.0
rf2,7679,576,Localized CQR,Overall,,,90%,0.8448784722222223,0.009798267204965749,0.3581471684074156,0.028376053327434172,21.080483604039227,0.23088306291028857,0.4512363947983312,0.7071583514099783,0.03298321528633097,0.9240016976327455,0.21684334622276716,
rf2,7679,576,Localized CQR,Bin 1,4,1,90%,0.7071583514099783,0.03298321528633097,0.6059723834855782,,,,,,,,,461.0
rf2,7679,576,Localized CQR,Bin 2,3,2,90%,0.8383947939262472,0.028912236020291752,0.3488629809412308,,,,,,,,,461.0
rf2,7679,576,Localized CQR,Bin 3,0,3,90%,0.8832971800433841,0.03466374725455651,0.32246304728742786,,,,,,,,,461.0
