regime,method,seed,coverage,avg_width,median_width,width_std,width_ratio_to_oracle,width_ratio_marginal,worst_bin_cov,best_bin_cov,coverage_gap_mean,coverage_gap_max,coverage_range,oracle_width,bandwidth_h,Q_global,Q_local_mean,Q_local_std
D1,Global,6,0.8968,2.511521339416504,2.2746739387512207,1.0540941953659058,0.9995251499329831,1.0043726698597673,0.871,0.911,0.010000000000000009,0.029000000000000026,0.040000000000000036,2.500587097583179,0.07368062997280775,0.012746831290881102,,
D1,Local,6,0.8988,2.5063478083117334,2.308324238182997,0.983258546460328,1.0071951998832687,1.0023037432825763,0.882,0.914,0.01040000000000001,0.018000000000000016,0.03200000000000003,2.500587097583179,0.07368062997280775,,0.010160038216338872,0.06765225369324906
D1,Global,7,0.9034,2.4587714672088623,2.3022537231445312,0.8915854692459106,1.0015220947112902,0.984081881767822,0.883,0.916,0.012200000000000011,0.017000000000000015,0.03300000000000003,2.4985435793126096,0.07368062997280775,0.041270588934906816,,
D1,Local,7,0.902,2.4807081834652616,2.3721897442623714,0.981863671693246,1.004317569589031,0.9928616831041006,0.877,0.92,0.01160000000000001,0.02300000000000002,0.04300000000000004,2.4985435793126096,0.07368062997280775,,0.05223887333167552,0.10689335292307324
D1,Global,8,0.8946,2.492217779159546,2.3194315433502197,0.9893653988838196,1.0061540258944028,1.0053305746117926,0.879,0.918,0.01260000000000001,0.02100000000000002,0.039000000000000035,2.47900326728043,0.07368062997280775,0.04732731164612271,,
D1,Local,8,0.8928,2.450994273331511,2.30336303832159,0.957376550921799,0.998732240440688,0.9887015098694703,0.887,0.906,0.009600000000000008,0.013000000000000012,0.019000000000000017,2.47900326728043,0.07368062997280775,,0.02671554326551543,0.11070527451281711
D1,Global,9,0.9046,2.5768260955810547,2.4029228687286377,0.9448843598365784,1.0427770992770995,1.0279579400853724,0.879,0.927,0.016600000000000014,0.027000000000000024,0.04800000000000004,2.506742732457563,0.07368062997280775,0.02408512467443952,,
D1,Local,9,0.9004,2.555407253119706,2.33209063533101,1.0765280006138287,1.0192344500937076,1.0194134483894297,0.89,0.922,0.008800000000000007,0.02200000000000002,0.03200000000000003,2.506742732457563,0.07368062997280775,,0.013375630518669482,0.11848488632287474
D2,Global,0,0.8956,7.315345287322998,8.406583786010742,2.8154847621917725,1.009832495661348,1.0088308966542945,0.874,0.914,0.013600000000000011,0.026000000000000023,0.040000000000000036,7.251309720572343,0.07368062997280775,0.013262892831608506,,
D2,Local,0,0.8924,7.317877856577952,7.9460736424057625,2.9789143827848155,1.0039116081050612,1.009180153457899,0.86,0.916,0.02240000000000002,0.040000000000000036,0.05600000000000005,7.251309720572343,0.07368062997280775,,0.014529131757477552,0.24941353284512963
D2,Global,1,0.9028,7.4442243576049805,8.147706985473633,2.8735899925231934,1.0292028088003968,1.0173274685593476,0.889,0.926,0.009200000000000009,0.026000000000000023,0.03700000000000003,7.317431788357053,0.07368062997280775,0.030051054859419536,,
D2,Local,1,0.9032,7.521529421169628,8.330969230878168,3.0029430568018527,1.0320982437319968,1.0278919761353047,0.892,0.916,0.0064000000000000055,0.016000000000000014,0.02400000000000002,7.317431788357053,0.07368062997280775,,0.06870391709596882,0.22256291506466797
D2,Global,2,0.9096,7.514249801635742,8.247154235839844,3.0934805870056152,1.035079821324216,1.0358238805945887,0.896,0.932,0.01200000000000001,0.03200000000000003,0.03600000000000003,7.25437011292149,0.07368062997280775,0.04528773831143237,,
D2,Local,2,0.9116,7.474852269431802,8.252697937765504,2.9210633786646136,1.0370566271583601,1.0303930118091975,0.894,0.931,0.014000000000000012,0.031000000000000028,0.03700000000000003,7.25437011292149,0.07368062997280775,,0.02558887316651742,0.21721113124534258
D2,Global,3,0.9124,7.587523460388184,8.457595825195312,3.013715982437134,1.0419497272949338,1.036801317043784,0.893,0.922,0.015200000000000014,0.02200000000000002,0.029000000000000026,7.3182039178175184,0.07368062997280775,0.14276495769455774,,
D2,Local,3,0.909,7.5197569034111815,8.692818817487773,2.942443635313695,1.0334037354877659,1.0275413185881503,0.902,0.923,0.009000000000000008,0.02300000000000002,0.02100000000000002,7.3182039178175184,0.07368062997280775,,0.10888191932836262,0.2415604850119023
D2,Global,4,0.8942,7.256792068481445,7.9622111320495605,2.8438587188720703,0.9939584687062459,0.9902432958975123,0.874,0.913,0.013400000000000013,0.026000000000000023,0.039000000000000035,7.328292045546457,0.07368062997280775,-0.014528881301549383,,
D2,Local,4,0.89,7.180968552534707,8.209283189188378,2.8068034976601064,0.9832531957894349,0.9798966127310277,0.866,0.911,0.014400000000000013,0.03400000000000003,0.04500000000000004,7.328292045546457,0.07368062997280775,,-0.05244115433597164,0.1686198641758377
D2,Global,5,0.9042,7.343647003173828,8.145626068115234,2.873002767562866,1.0024523790040814,1.0068314649744372,0.894,0.926,0.01020000000000001,0.026000000000000023,0.03200000000000003,7.293819530521207,0.07368062997280775,-0.04443251867145842,,
D2,Local,5,0.9034,7.321403481123468,7.553535029373669,2.9896497191954676,0.9972771586473904,1.0037818252133655,0.89,0.917,0.007400000000000006,0.017000000000000015,0.027000000000000024,7.293819530521207,0.07368062997280775,,-0.05555434150441377,0.2493233078127256
D2,Global,6,0.9046,7.456639289855957,8.112078666687012,2.9059553146362305,1.0343576957135359,1.0161251909790587,0.878,0.921,0.013400000000000013,0.02200000000000002,0.04300000000000004,7.338307677099633,0.07368062997280775,0.13520217027062728,,
D2,Local,6,0.901,7.508050130591146,8.629819313059112,2.8781535218609045,1.030015854668588,1.0231310079871987,0.88,0.919,0.013800000000000012,0.020000000000000018,0.039000000000000035,7.338307677099633,0.07368062997280775,,0.1609079137408994,0.19003604543879243
D2,Global,7,0.9086,7.5534491539001465,8.08975601196289,3.260741949081421,1.0281337694132413,1.0367168496430585,0.891,0.942,0.01339999999999999,0.041999999999999926,0.050999999999999934,7.285932659916542,0.07368062997280775,0.03802240022750819,,
D2,Local,7,0.8992,7.376430123631104,7.891824941456462,2.9732458768830052,1.014598645694285,1.012420848220631,0.871,0.924,0.018000000000000016,0.029000000000000026,0.05300000000000005,7.285932659916542,0.07368062997280775,,-0.05048706277785572,0.23464209571177405
D2,Global,8,0.9046,7.438464164733887,8.769837379455566,2.901515245437622,1.0306476031277505,1.018070844692346,0.873,0.932,0.02220000000000002,0.03200000000000003,0.05900000000000005,7.3064307886959865,0.07368062997280775,0.05712558221101997,,
D2,Local,8,0.9032,7.5068939740238525,7.908620083472013,3.060670505573446,1.0277180644430302,1.027436540648275,0.877,0.917,0.012400000000000012,0.02300000000000002,0.040000000000000036,7.3064307886959865,0.07368062997280775,,0.09134025624086148,0.3226381777055985
D2,Global,9,0.9138,7.536465644836426,8.389581680297852,3.049863815307617,1.04429290669978,1.0358446248609399,0.901,0.926,0.013800000000000012,0.026000000000000023,0.025000000000000022,7.275671914451631,0.07368062997280775,0.07907919357784174,,
