regime,method,coverage_mean,coverage_std,width_mean,width_std,width_ratio_mean,width_ratio_std,cov_range_mean,cov_range_std,worst_cov_mean,worst_cov_std,cov_gap_mean,cov_gap_std,target_coverage,coverage_abs_gap_mean
E2,Global,0.9047599999999999,0.0067024373676049225,1.8845085978507996,0.04793383927869112,1.0260561408068343,0.02609845537688372,0.04269999999999999,0.013928787137116812,0.8827,0.010770845422301384,0.014919999999999989,0.004987272690448042,0.9,0.0047599999999998754
E2,Local,0.9034800000000001,0.006922555725870156,1.8814358073536916,0.04626970168201355,1.0243831120363862,0.025192409337995554,0.033100000000000004,0.009397990328906614,0.8870000000000001,0.013613718571108107,0.01168,0.0038737865483557845,0.9,0.0034800000000000386
E3,Global,0.9010199999999999,0.007924336635398018,2.0481875419616697,0.03900497443930393,1.0348608620141875,0.019939431910187877,0.03959999999999999,0.014818906842274148,0.881,0.01103529690483123,0.013299999999999989,0.004675467891024376,0.9,0.0010199999999999099
E3,Local,0.89896,0.007995998999499685,2.049899418629145,0.0430594468934512,1.034221660502758,0.02075706841648489,0.035599999999999986,0.01887502759379879,0.8798,0.015619076655025307,0.01171999999999999,0.0049568807396049444,0.9,0.001040000000000041
E4,Global,0.89732,0.00940553028808053,2.7785526275634767,0.024957099632366763,1.0034748520338403,0.009013261900423654,0.03839999999999999,0.01047960983158352,0.8815,0.006363961030678942,0.014239999999999989,0.0033317329491489105,0.9,0.0026800000000000157
E4,Local,0.89598,0.007929382769869967,2.77559699364446,0.02287872761725804,1.0024074130553016,0.008262657085061778,0.0328,0.009126274644612057,0.8794000000000001,0.012668420931153522,0.01106,0.002617972073529009,0.9,0.0040200000000000236
E5,Global,0.8951600000000001,0.008546760269898222,5.379562330245972,0.24939926630482157,1.0057549584303325,0.031078890933892465,0.0348,0.01681797979676645,0.8760999999999999,0.016216932166377512,0.013239999999999998,0.005087501023750921,0.9,0.0048399999999999554
E5,Local,0.8943199999999999,0.007429191671298368,5.371105993690319,0.1648213927959199,1.0068102768377767,0.029920952393754037,0.0364,0.008643558937793571,0.8766999999999999,0.00842021377400836,0.014599999999999998,0.0038609152628187354,0.9,0.005680000000000129
F1,Global,0.90292,0.008542286969346485,1.6816554427146913,0.03196250153722923,1.0223739259722504,0.019431822756879828,0.0418,0.011933147112141038,0.8823000000000001,0.014267679091802814,0.01408,0.0034411884252068758,0.9,0.0029199999999999227
F1,Local,0.90366,0.006736995703658312,1.6812593079429736,0.03215141359608268,1.0221330824791834,0.019546671551359255,0.0361,0.012440525176481363,0.8848,0.012025897979869221,0.012620000000000001,0.004735163965247432,0.9,0.0036599999999999966
F2,Global,0.90464,0.007809851328788367,1.7913549423217774,0.06529611432081354,1.0890664804221013,0.039697220597769034,0.0491,0.028972975914347034,0.8776999999999999,0.01852955596997525,0.0178,0.01092194528867861,0.9,0.0046399999999999775
F2,Local,0.90242,0.006952825165195667,1.773378987968086,0.05089635862526022,1.0781378713039766,0.030942788945658467,0.040499999999999994,0.01588325463429261,0.8821,0.011911245853300905,0.013619999999999998,0.004672805486119779,0.9,0.0024199999999999777
F3,Global,0.9021399999999999,0.008006691645811715,2.263340210914612,0.06445335517428269,2.29335522960875,0.06530805644993515,0.05179999999999997,0.016116244392951253,0.8773,0.013792510044706656,0.01665999999999997,0.005880325009914174,0.9,0.0021399999999999197
F3,Local,0.9177199999999999,0.006475389306185882,2.2180699588825,0.06592000948013768,2.2474846419347876,0.06679420020523048,0.03839999999999996,0.018440294044413802,0.8981,0.012068784344562482,0.02075999999999998,0.004433007506823737,0.9,0.017719999999999847
H1,Global,0.90284,0.007880101522188696,4.436152362823487,0.0814035496445422,1.150693029203342,0.03125376942970221,0.03959999999999999,0.012312595177297093,0.8821,0.007248754682319197,0.01467999999999999,0.006507568243548765,0.9,0.0028399999999999537
H1,Local,0.9023,0.008036168241145728,4.535243721762542,0.15073941926010784,1.1470916424327866,0.02490197890788572,0.0361,0.012862088995701024,0.8835000000000001,0.013352070168246494,0.01234,0.004440270262044868,0.9,0.0022999999999999687
H2,Global,0.90466,0.008215459681465014,4.449743127822876,0.09839949906328538,1.1861251293443318,0.04377606265971263,0.042099999999999985,0.012731849826321381,0.8825,0.012877629181387896,0.014219999999999991,0.006005515983012784,0.9,0.0046599999999999975
H2,Local,0.9021800000000001,0.008209723232579506,4.501070472219969,0.11388037713754189,1.1710103849087452,0.027409980850871516,0.0306,0.012066482503198684,0.8873,0.011245245909074476,0.01162,0.0041574030355499576,0.9,0.0021800000000000708
